NJ,ProductName,NR,Red_berry,Dark_berry,Jam,Dried_fruit,Artificial_frui,Chocolate,Vanilla,Oak,Burned,Leather,Earthy,Spicy,Pepper,Grassy,Medicinal,Band-aid,Sour,Bitter,Alcohol,Astringent
1402,C_MERLOT,8,1.8,0.4,0.1,0.1,0.1,0.5,0.2,0.2,0.1,0.1,0.2,0.3,0.2,0.1,0.5,0.1,3.5,4.2,4.1,5.6
1402,C_SYRAH,8,0.1,0,0.1,0,0.1,0.4,0,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,7,6.8,6.2,6.3
1402,C_ZINFANDEL,8,5.7,3.5,0.3,0.5,0.1,0.1,0.1,0.1,0.2,0.4,0.3,0.2,0.1,0.1,0.2,0.1,8.6,6.1,5,4.9
1402,C_REFOSCO,8,0.1,0.1,0.1,0.1,0.1,2.1,5.2,0.2,0.9,0.1,0.1,0.1,0.1,0.1,0,0,5.3,6.5,4.5,4.6
1402,I__MERLOT,8,5.6,6.4,4.8,3.9,1.2,0.1,0,0.3,0.1,0.2,0.3,0.1,0.1,0.1,0.7,0.1,5.8,2.9,3,2.7
1402,I_SYRAH,8,5.7,4.5,2.5,3.3,1.2,0.2,0.1,0.3,0.1,0.1,0.1,0.1,0.2,0,0.1,0,8.4,6,4.9,4.9
1402,I_PRIMITIVO,8,3.3,3.1,2.3,1.8,1.7,0.2,0.1,0.2,0,0.1,0.2,0.1,0.1,0,0.1,0.1,2.6,6,5.4,4
1402,I_REFOSCO,8,0.2,0.7,0.3,1.9,0.5,0.1,0.1,0.3,0,0.4,0.2,0.1,0.1,0.1,0.2,0.2,5.4,5,4.7,5
1404,C_MERLOT,8,3.4,8.3,3.5,4.6,0,0,1.3,0.3,0,0,0.5,0.4,1.1,0,0,0,3.9,3.3,4.6,4.9
1404,C_SYRAH,8,3,8.8,3,4.3,0,0,1.3,0,3.7,0,0.4,0,1,0,0,0,3.8,3.8,5.7,4.7
1404,C_ZINFANDEL,8,2.8,3.4,0.3,0,0,0,1.2,2.7,4.9,0.5,0,0.2,1.2,0,0,0,3.6,3.6,5.4,4.6
1404,C_REFOSCO,8,0.9,1.5,0,0,0,0,0,1.2,9,0.3,1,0,0.8,0,0,0,2.2,1.4,5.4,5.1
1404,I__MERLOT,8,5,3.3,0,0,0,0,1.7,2.6,0,0,0.9,2.7,1.3,0.5,0,0,7,4.7,3.5,3.9
1404,I_SYRAH,8,7.5,7,8.9,3,1.5,0,0.2,0.7,0,0,0.2,0,0,0.2,0,0,4.9,3,4,5.4
1404,I_PRIMITIVO,8,7.1,8.1,7.3,4.7,1,0,0.2,0.9,0,0,0,0.3,0,0,0,0,3.8,3.1,3.9,5.1
1404,I_REFOSCO,8,2,3,0.3,1.4,0,0,1.6,1.6,0,0,0,0.4,0.3,0,7.2,0,6.1,3.1,3.9,4.8
1405,C_MERLOT,8,0.4,5.5,5,0.5,0.3,2.1,0.3,5,0.3,0.4,0.4,0.5,0.3,0.5,0.3,0.3,1.6,0.4,0.4,0.2
1405,C_SYRAH,8,0.8,0.7,0.6,2.1,0.5,0.4,0.5,1,4.1,0.3,0.4,0.2,6.9,0.6,0.3,0.3,2.2,0.4,0.4,1.7
1405,C_ZINFANDEL,8,6.4,0.4,0.4,0.4,2.5,0.7,0.6,3.8,0.6,0.5,0.4,4.7,0.4,0.3,0.3,0.5,3.8,4.1,2.3,1.8
