wine,263,1331,1400,1401,1402,1404,1405,1408,1409,1412,1413,1414,1415,1416,1417
I_REFOSCO,G6,G3,G5,G4,G5,G4,G2,G2,G1,G1,G1,G6,G1,G4,G1
I_MERLOT,G1,G3,G4,G3,G2,G3,G4,G3,G1,G2,G1,G2,G2,G2,G2
I_SYRAH,G5,G4,G2,G1,G1,G2,G1,G4,G1,G2,G1,G3,G1,G1,G3
I_PRIMITIVO,G2,G1,G3,G1,G4,G5,G3,G4,G3,G2,G2,G6,G1,G3,G4
C_SYRAH,G3,G2,G4,G4,G5,G6,G1,G3,G2,G4,G3,G1,G2,G2,G5
C_REFOSCO,G4,G3,G1,G2,G5,G5,G2,G1,G2,G3,G3,G5,G1,G1,G6
C_MERLOT,G1,G2,G3,G3,G3,G1,G4,G3,G2,G2,G1,G1,G2,G1,G7
C_ZINFANDEL,G1,G5,G3,G3,G2,G1,G1,G3,G1,G2,G1,G4,G2,G4,G8
